Full Path,Primary Category,Last Level
Toileting > Padding for toilet seats,Toileting,Padding for toilet seats
Toileting > Other,Toileting,Other
Collecting urine and faeces > Non-body-worn urinals and urine bottles,Collecting urine and faeces,Non-body-worn urinals and urine bottles
Collecting urine and faeces > Suspenders and fastning devices for urine collectors,Collecting urine and faeces,Suspenders and fastning devices for urine collectors
Collecting urine and faeces > Other,Collecting urine and faeces,Other
"Absorbing products to contain urine and faeces > Absorbent products, washable",Absorbing products to contain urine and faeces,"Absorbent products, washable"
"Absorbing products to contain urine and faeces > Underpads for non-body-worn use to protect chair or bedding, washable",Absorbing products to contain urine and faeces,"Underpads for non-body-worn use to protect chair or bedding, washable"
Absorbing products to contain urine and faeces > Other,Absorbing products to contain urine and faeces,Other
Prevent involuntary urine or faeces leakage > Incontinence alarms,Prevent involuntary urine or faeces leakage,Incontinence alarms
Prevent involuntary urine or faeces leakage > Other,Prevent involuntary urine or faeces leakage,Other
"Washing, bathing and showering > Bath boards","Washing, bathing and showering",Bath boards
"Washing, bathing and showering > Bath seats","Washing, bathing and showering",Bath seats
"Washing, bathing and showering > Non-slip bathmats, non-slip shower mats and non-slip tapes","Washing, bathing and showering","Non-slip bathmats, non-slip shower mats and non-slip tapes"
"Washing, bathing and showering > Shower chairs with and without wheels","Washing, bathing and showering",Shower chairs with and without wheels
"Washing, bathing and showering > Back supports for bath or shower","Washing, bathing and showering",Back supports for bath or shower
"Washing, bathing and showering > Bathing stretchers, shower tables and adult changing tables","Washing, bathing and showering","Bathing stretchers, shower tables and adult changing tables"
"Washing, bathing and showering > Bathtub shelves","Washing, bathing and showering",Bathtub shelves
"Washing, bathing and showering > Assistive products for reducing length or depth of a bathtub","Washing, bathing and showering",Assistive products for reducing length or depth of a bathtub
"Washing, bathing and showering > Washcloths, sponges and brushes with holder, handle or grip","Washing, bathing and showering","Washcloths, sponges and brushes with holder, handle or grip"
"Washing, bathing and showering > Assistive products for drying oneself","Washing, bathing and showering",Assistive products for drying oneself
"Washing, bathing and showering > Other","Washing, bathing and showering",Other
Nail care > Nail brushes,Nail care,Nail brushes
Nail care > Nail files and emery boards,Nail care,Nail files and emery boards
Nail care > Nail scissors and clippers,Nail care,Nail scissors and clippers
Nail care > Other,Nail care,Other
Hair care > Assistive products for shampooing,Hair care,Assistive products for shampooing
Hair care > Combs and hairbrushes,Hair care,Combs and hairbrushes
Hair care > Hair dryers,Hair care,Hair dryers
Hair care > Other,Hair care,Other
Dental care > Unpowered toothbrushes,Dental care,Unpowered toothbrushes
Dental care > Powered toothbrushes,Dental care,Powered toothbrushes
Dental care > Other,Dental care,Other
"Facial care > Shaving products, razors and (electric) shavers",Facial care,"Shaving products, razors and (electric) shavers"
Facial care > Assistive products for application of facial products,Facial care,Assistive products for application of facial products
Facial care > Mirrors for facial care,Facial care,Mirrors for facial care
Facial care > Other,Facial care,Other
Sexual activity > Assistive products for sexual habitation and rehabilitation,Sexual activity,Assistive products for sexual habitation and rehabilitation
Sexual activity > Other,Sexual activity,Other
Wraparound > Wraparound ,Wraparound,Wraparound 
Wraparound > WRAP-001: Set up,Wraparound,WRAP-001: Set up
Wraparound > WRAP-002: Training,Wraparound,WRAP-002: Training
Wraparound > WRAP-003: Delivery,Wraparound,WRAP-003: Delivery
Wraparound > WRAP-004: Administration,Wraparound,WRAP-004: Administration
Wraparound > WRAP-005: Repairs,Wraparound,WRAP-005: Repairs
Wraparound > WRAP-006: Maintenance,Wraparound,WRAP-006: Maintenance
Wraparound > WRAP-007: Other,Wraparound,WRAP-007: Other
